participant_id,identity,realism,style_satisfaction,recommendation_quality,overall_experience
P01,4,3,4,5,4
P02,4,5,4,4,4
P03,3,3,4,3,3
P04,3,3,4,4,3
P05,5,3,4,3,3
P06,4,3,4,4,4
P07,3,5,4,3,4
P08,3,4,3,3,4
P09,4,4,4,4,3
P10,3,3,5,4,3
P11,4,3,3,4,4
P12,4,3,4,4,4
P13,3,3,3,3,4
P14,5,4,5,4,3
P15,4,5,4,5,2
P16,4,4,4,4,3
P17,4,4,5,4,3
P18,3,4,4,4,4
P19,4,4,3,4,4
P20,3,4,4,4,4
P21,3,3,4,4,4
P22,4,5,4,4,4
P23,2,4,4,5,4
P24,4,4,3,5,4
P25,4,3,5,3,4
P26,5,3,4,4,3
P27,3,4,3,4,3
P28,5,3,4,4,3
P29,4,5,3,4,4
P30,4,3,3,4,4
P31,4,4,3,4,4
P32,3,5,4,3,4
P33,3,4,5,4,4
P34,4,4,5,4,3
P35,3,3,4,4,4
P36,4,4,5,4,5
P37,4,3,3,4,4
P38,4,4,4,4,3
P39,3,4,4,3,4
P40,4,3,4,4,3
P41,4,4,5,5,3
P42,3,4,4,4,5
P43,4,5,4,4,4
P44,4,3,4,4,4
P45,5,2,4,3,4
P46,5,4,3,4,4
P47,3,4,4,4,5
P48,4,2,4,4,4
P49,3,4,4,4,3
P50,4,3,4,5,4
